Short Name,Position,League Name,Club Name,Nationality,Age,Overall,Gross Annual Eur,Predicted Center Eur,Predicted Low Eur,Predicted High Eur,Status
N. Woltemade,Attacker,Premier League,Newcastle United,Germany,23,79,7981868.0,5359797.0,4681776.0,5981501.0,overpaid
Mikel Merino,Midfielder,Premier League,Arsenal,Spain,29,83,7831266.0,8713218.0,7381737.0,9904330.0,fair
B. Leno,Goalkeeper,Premier League,Fulham FC,Germany,33,80,7831266.0,4356440.0,4055675.0,4828846.0,overpaid
J. McGinn,Midfielder,Premier League,Aston Villa,Scotland,30,81,7831266.0,6593731.0,5639284.0,7987425.0,fair
Matheus Nunes,Midfielder,Premier League,Manchester City,Portugal,26,79,7831266.0,4548177.0,3897238.0,5340445.0,overpaid
O. Watkins,Attacker,Premier League,Aston Villa,England,29,84,7831266.0,8539013.0,6636958.0,11721983.0,fair
C. Palmer,Midfielder,Premier League,Chelsea,England,23,87,7831266.0,13087370.0,12475268.0,13979828.0,underpaid
M. Thuram,Attacker,Serie A,Inter,France,27,85,7690000.0,7117569.0,6167148.0,8300718.0,fair
P. Schick,Attacker,Bundesliga,Bayer 04 Leverkusen,Czechia,29,85,7550000.0,8575715.0,7729254.0,9230812.0,underpaid
D. Raum,Defender,Bundesliga,RB Leipzig,Germany,27,82,7550000.0,5886270.0,4920921.0,6920000.0,overpaid
M. Sabitzer,Midfielder,Bundesliga,Borussia Dortmund,Austria,31,80,7510000.0,5520027.0,4525252.0,6589455.0,overpaid
L. Openda,Attacker,Serie A,Juventus,Belgium,25,83,7410000.0,6116573.0,5277511.0,7022985.0,overpaid
F. Dimarco,Midfielder,Serie A,Inter,Italy,27,85,7410000.0,6557845.0,5705442.0,7837331.0,fair
Brahim,Attacker,La Liga,Real Madrid,Morocco,25,82,7290000.0,8390068.0,6701175.0,10583105.0,fair
A. Sørloth,Attacker,La Liga,Atlético Madrid,Norway,29,84,7290000.0,7156489.0,6147093.0,8397714.0,fair
B. Barcola,Attacker,Ligue 1,Paris Saint-Germain,France,22,84,7270000.0,8141531.0,7133283.0,9128412.0,fair
B. Pavard,Defender,Ligue 1,Olympique de Marseille,France,29,84,7270000.0,6385471.0,5517951.0,7265773.0,overpaid
A. Areola,Goalkeeper,Premier League,West Ham United,France,32,77,7228861.0,3409865.0,2957751.0,4124073.0,overpaid
J. Ramsey,Midfielder,Premier League,Newcastle United,England,24,78,7228861.0,4296682.0,3730577.0,5082238.0,overpaid
R. Calafiori,Defender,Premier League,Arsenal,Italy,23,78,7228861.0,4108479.0,3644544.0,4889037.0,overpaid
J. Tarkowski,Defender,Premier League,Everton,England,32,80,7228861.0,3297336.0,2828738.0,3954990.0,overpaid
M. Ugarte,Midfielder,Premier League,Manchester United,Uruguay,24,79,7228861.0,4739357.0,4317556.0,5280952.0,overpaid
D. Szoboszlai,Midfielder,Premier League,Liverpool,Hungary,24,83,7228861.0,7429030.0,6499573.0,8461822.0,fair
S. Al Dawsari,Attacker,Saudi Pro League,Al Hilal,Saudi Arabia,33,82,7050000.0,5720251.0,4571917.0,7358983.0,fair
Francisco Conceição,Attacker,Serie A,Juventus,Portugal,22,79,7040000.0,5228381.0,4557294.0,5772318.0,overpaid
L. Yoro,Defender,Premier League,Manchester United,France,19,78,6927659.0,3147586.0,2654678.0,3813792.0,overpaid
M. Caqueret,Midfielder,Serie A,Como,France,25,77,6670000.0,4262571.0,3792861.0,4841842.0,overpaid
D. Hancko,Defender,La Liga,Atlético Madrid,Slovakia,27,83,6670000.0,6270560.0,5623014.0,7170775.0,fair
M. Gibbs-White,Midfielder,Premier League,Nottingham Forest,England,25,82,6626456.0,7147012.0,6172146.0,8345190.0,fair
A. Garnacho,Attacker,Premier League,Chelsea,Argentina,21,77,6626456.0,3969879.0,3540518.0,4754663.0,overpaid
G. Xhaka,Midfielder,Premier League,Sunderland,Switzerland,32,85,6626456.0,7031310.0,6087543.0,8175617.0,fair
M. Akanji,Defender,Serie A,Inter,Switzerland,29,82,6480000.0,5969728.0,4893505.0,6567381.0,fair
M. Politano,Midfielder,Serie A,Napoli,Italy,31,81,6480000.0,6299493.0,5304947.0,7684908.0,fair
L. Modrić,Midfielder,Serie A,AC Milan,Croatia,39,83,6480000.0,5036522.0,4273294.0,6161591.0,overpaid
G. Mancini,Defender,Serie A,Roma,Italy,29,83,6480000.0,5907502.0,4981170.0,6605042.0,fair
Rafael Leão,Attacker,Serie A,AC Milan,Portugal,26,84,6410000.0,7120417.0,6167010.0,8327668.0,fair
